Дата;Товар;Менеджер;Продано штук;Сумма продажи;Рекламный канал;Город доставки
01.01.2020;Системный блок;Иванов;7;350000;Вконтакте;Москва
02.01.2020;Клавиутара и мышь;Петров;8;40000;Вконтакте;Москва
03.01.2020;Системный блок;Борисов;9;450000;Вконтакте;Краснодар
04.01.2020;Клавиутара и мышь;Петров;6;30000;Instagram;Москва
05.01.2020;Монитор;Борисов;7;140000;SMS-рассылка;Москва
06.01.2020;Наушники;Петров;9;90000;Facebook;Москва
07.01.2020;Монитор;Иванов;11;220000;Instagram;Екатеринбург
08.01.2020;Ноутбук;Борисов;14;840000;Facebook;Краснодар
09.01.2020;Системный блок;Борисов;13;650000;Facebook;Екатеринбург
10.01.2020;Системный блок;Семенов;8;400000;Яндекс.Директ;Пермь
11.01.2020;Системный блок;Петров;8;400000;Вконтакте;Санкт-Петербург
12.01.2020;Монитор;Петров;6;120000;Email-рассылка;Москва
13.01.2020;Ноутбук;Петров;13;780000;Google Adwords;Москва
14.01.2020;Наушники;Борисов;5;50000;SMS-рассылка;Самара
15.01.2020;Системный блок;Иванов;6;300000;Вконтакте;Краснодар
16.01.2020;Системный блок;Петров;5;250000;Instagram;Екатеринбург
17.01.2020;Монитор;Иванов;8;160000;Google Adwords;Санкт-Петербург
18.01.2020;Клавиутара и мышь;Петров;7;35000;Email-рассылка;Москва
19.01.2020;Системный блок;Иванов;15;750000;Яндекс.Директ;Санкт-Петербург
20.01.2020;Ноутбук;Петров;12;720000;Instagram;Москва
21.01.2020;Наушники;Петров;6;60000;Вконтакте;Пермь
22.01.2020;Системный блок;Петров;10;500000;Instagram;Екатеринбург
23.01.2020;Системный блок;Петров;7;350000;Google Adwords;Краснодар
24.01.2020;Клавиутара и мышь;Иванов;15;75000;Вконтакте;Санкт-Петербург
25.01.2020;Наушники;Борисов;9;90000;Google Adwords;Москва
26.01.2020;Клавиутара и мышь;Семенов;11;55000;Email-рассылка;Москва
27.01.2020;Монитор;Борисов;5;100000;Вконтакте;Москва
28.01.2020;Системный блок;Иванов;14;700000;Google Adwords;Санкт-Петербург
29.01.2020;Клавиутара и мышь;Семенов;14;70000;Instagram;Москва
30.01.2020;Монитор;Семенов;11;220000;Email-рассылка;Самара
31.01.2020;Системный блок;Семенов;15;750000;Facebook;Ростов-на-Дону
01.02.2020;Монитор;Иванов;14;280000;Яндекс.Директ;Санкт-Петербург
02.02.2020;Ноутбук;Петров;14;840000;Google Adwords;Москва
03.02.2020;Системный блок;Борисов;10;500000;Яндекс.Директ;Новосибирск
04.02.2020;Наушники;Иванов;6;60000;Вконтакте;Москва
05.02.2020;Системный блок;Петров;8;400000;Google Adwords;Москва
06.02.2020;Клавиутара и мышь;Иванов;15;75000;Вконтакте;Москва
07.02.2020;Монитор;Петров;12;240000;Google Adwords;Краснодар
08.02.2020;Монитор;Иванов;6;120000;Facebook;Ростов-на-Дону
09.02.2020;Клавиутара и мышь;Борисов;8;40000;Instagram;Москва
10.02.2020;Наушники;Семенов;5;50000;SMS-рассылка;Екатеринбург
11.02.2020;Наушники;Семенов;8;80000;Google Adwords;Москва
12.02.2020;Системный блок;Семенов;11;550000;Вконтакте;Ростов-на-Дону
13.02.2020;Ноутбук;Петров;5;300000;Google Adwords;Новосибирск
14.02.2020;Наушники;Петров;14;140000;Facebook;Москва
15.02.2020;Наушники;Семенов;10;100000;Instagram;Москва
16.02.2020;Системный блок;Семенов;14;700000;Вконтакте;Краснодар
17.02.2020;Клавиутара и мышь;Петров;13;65000;Яндекс.Директ;Краснодар
18.02.2020;Клавиутара и мышь;Борисов;13;65000;Email-рассылка;Санкт-Петербург
19.02.2020;Монитор;Борисов;5;100000;Instagram;Москва
20.02.2020;Системный блок;Иванов;13;650000;Google Adwords;Москва
21.02.2020;Монитор;Иванов;6;120000;Instagram;Новосибирск
22.02.2020;Системный блок;Семенов;7;350000;Google Adwords;Самара
23.02.2020;Монитор;Семенов;10;200000;Facebook;Москва
24.02.2020;Ноутбук;Борисов;11;660000;Яндекс.Директ;Санкт-Петербург
25.02.2020;Наушники;Иванов;6;60000;Facebook;Ростов-на-Дону
26.02.2020;Клавиутара и мышь;Петров;9;45000;Вконтакте;Москва
27.02.2020;Клавиутара и мышь;Иванов;8;40000;Вконтакте;Москва
28.02.2020;Системный блок;Семенов;11;550000;Google Adwords;Москва
29.02.2020;Монитор;Иванов;8;160000;Instagram;Москва
01.03.2020;Системный блок;Борисов;12;600000;Instagram;Екатеринбург
02.03.2020;Клавиутара и мышь;Иванов;5;25000;Facebook;Краснодар
03.03.2020;Наушники;Борисов;14;140000;Google Adwords;Москва
04.03.2020;Монитор;Петров;9;180000;Вконтакте;Екатеринбург
05.03.2020;Системный блок;Петров;11;550000;Facebook;Самара
06.03.2020;Клавиутара и мышь;Семенов;6;30000;Instagram;Новосибирск
07.03.2020;Наушники;Семенов;9;90000;Instagram;Санкт-Петербург
08.03.2020;Монитор;Петров;6;120000;Instagram;Москва
09.03.2020;Наушники;Петров;15;150000;Instagram;Санкт-Петербург
10.03.2020;Наушники;Борисов;5;50000;Instagram;Москва
11.03.2020;Ноутбук;Петров;13;780000;Google Adwords;Москва
12.03.2020;Системный блок;Семенов;10;500000;Яндекс.Директ;Краснодар
13.03.2020;Клавиутара и мышь;Семенов;5;25000;Instagram;Екатеринбург
14.03.2020;Клавиутара и мышь;Семенов;6;30000;Facebook;Краснодар
15.03.2020;Ноутбук;Борисов;9;540000;Вконтакте;Ростов-на-Дону
16.03.2020;Ноутбук;Петров;5;300000;Google Adwords;Ростов-на-Дону
17.03.2020;Монитор;Иванов;10;200000;Яндекс.Директ;Самара
18.03.2020;Клавиутара и мышь;Семенов;14;70000;Google Adwords;Пермь
19.03.2020;Ноутбук;Семенов;10;600000;Email-рассылка;Москва
20.03.2020;Наушники;Семенов;10;100000;Instagram;Краснодар
21.03.2020;Монитор;Борисов;8;160000;Вконтакте;Москва
22.03.2020;Клавиутара и мышь;Петров;15;75000;Facebook;Санкт-Петербург
23.03.2020;Клавиутара и мышь;Борисов;9;45000;Вконтакте;Новосибирск
24.03.2020;Ноутбук;Борисов;10;600000;Вконтакте;Санкт-Петербург
25.03.2020;Клавиутара и мышь;Семенов;9;45000;Вконтакте;Москва
26.03.2020;Клавиутара и мышь;Иванов;8;40000;Email-рассылка;Екатеринбург
27.03.2020;Монитор;Иванов;6;120000;SMS-рассылка;Москва
28.03.2020;Монитор;Иванов;12;240000;Google Adwords;Екатеринбург
29.03.2020;Системный блок;Борисов;10;500000;Facebook;Москва
30.03.2020;Ноутбук;Семенов;9;540000;Вконтакте;Санкт-Петербург
31.03.2020;Монитор;Семенов;6;120000;Facebook;Екатеринбург
01.04.2020;Наушники;Иванов;11;110000;SMS-рассылка;Новосибирск
02.04.2020;Ноутбук;Семенов;13;780000;Яндекс.Директ;Санкт-Петербург
03.04.2020;Наушники;Борисов;10;100000;Instagram;Ростов-на-Дону
04.04.2020;Наушники;Иванов;5;50000;SMS-рассылка;Пермь
05.04.2020;Монитор;Семенов;8;160000;Facebook;Москва
06.04.2020;Наушники;Иванов;13;130000;Instagram;Москва
07.04.2020;Монитор;Иванов;7;140000;Яндекс.Директ;Краснодар
08.04.2020;Клавиутара и мышь;Семенов;8;40000;Email-рассылка;Москва
09.04.2020;Системный блок;Семенов;8;400000;Instagram;Новосибирск
10.04.2020;Наушники;Борисов;8;80000;Facebook;Краснодар
11.04.2020;Системный блок;Борисов;13;650000;SMS-рассылка;Пермь
12.04.2020;Клавиутара и мышь;Иванов;11;55000;Instagram;Москва
13.04.2020;Наушники;Петров;15;150000;SMS-рассылка;Москва
14.04.2020;Наушники;Семенов;9;90000;Instagram;Москва
15.04.2020;Наушники;Петров;11;110000;Facebook;Самара
16.04.2020;Клавиутара и мышь;Семенов;11;55000;Вконтакте;Москва
17.04.2020;Системный блок;Семенов;13;650000;Google Adwords;Новосибирск
18.04.2020;Наушники;Борисов;8;80000;Facebook;Москва
19.04.2020;Клавиутара и мышь;Семенов;11;55000;Яндекс.Директ;Москва
20.04.2020;Монитор;Семенов;5;100000;Email-рассылка;Новосибирск
21.04.2020;Наушники;Борисов;11;110000;Вконтакте;Санкт-Петербург
22.04.2020;Монитор;Иванов;10;200000;Вконтакте;Москва
23.04.2020;Наушники;Семенов;6;60000;Facebook;Санкт-Петербург
24.04.2020;Клавиутара и мышь;Петров;11;55000;Google Adwords;Санкт-Петербург
25.04.2020;Ноутбук;Семенов;13;780000;Instagram;Москва
26.04.2020;Ноутбук;Семенов;12;720000;Вконтакте;Москва
27.04.2020;Монитор;Иванов;15;300000;Яндекс.Директ;Санкт-Петербург
